Year,Species,SAR,Adults,Location
1994,CH,0.67,7,TLGR
1995,CH,0.41,7,TLGR
1996,CH,0.37,1,TLGR
1997,CH,1.08,2,TLGR
1998,CH,1.34,11,TLGR
1999,CH,2.53,28,TLGR
2000,CH,1.22,4,TLGR
2001,CH,1.33,6,TLGR
2002,CH,0.61,10,TLGR
2003,CH,0.31,16,TLGR
2004,CH,0.55,49,TLGR
2005,CH,0.22,27,TLGR
2006,CH,0.72,28,TLGR
2007,CH,1.23,26,TLGR
2008,CH,3.39,175,TLGR
2009,CH,1.8,69,TLGR
2010,CH,0.9,54,TLGR
2011,CH,0.35,15,TLGR
2012,CH,0.88,17,TLGR
2013,CH,1.73,60,TLGR
2014,CH,0.98,32,TLGR
2015,CH,1.02,7,TLGR
2016,CH,0.53,12,TLGR
2017,CH,0.31,1,TLGR
2018,CH,0.37,14,TLGR
2019,CH,0.49,12,TLGR
1994,CH,0.52,2,TLGS
1995,CH,0.28,1,TLGS
1996,CH,1.18,1,TLGS
1997,CH,6.67,2,TLGS
1998,CH,0.84,3,TLGS
1999,CH,2.82,9,TLGS
2000,CH,2.46,6,TLGS
2001,CH,1.39,1,TLGS
2002,CH,1.08,20,TLGS
2003,CH,0.51,13,TLGS
2004,CH,0.46,13,TLGS
2005,CH,0.31,10,TLGS
2006,CH,0.72,31,TLGS
2007,CH,1.44,9,TLGS
2008,CH,2.62,67,TLGS
2009,CH,1.34,40,TLGS
2010,CH,0.88,29,TLGS
2011,CH,0.43,10,TLGS
2012,CH,0.95,16,TLGS
2013,CH,1.44,33,TLGS
2014,CH,0.4,10,TLGS
2015,CH,0.91,8,TLGS
2016,CH,0.62,8,TLGS
2017,CH,NA,,TLGS
2018,CH,0.31,10,TLGS
2019,CH,0.51,8,TLGS
1994,CH,NA,,TLMN
1995,CH,NA,,TLMN
1996,CH,NA,,TLMN
1997,CH,NA,,TLMN
1998,CH,1.27,1,TLMN
1999,CH,2.09,6,TLMN
2000,CH,1.07,2,TLMN
2001,CH,NA,,TLMN
2002,CH,0.6,1,TLMN
2003,CH,0.17,1,TLMN
2004,CH,0.72,6,TLMN
2005,CH,NA,,TLMN
2006,CH,1.24,17,TLMN
2007,CH,0.89,3,TLMN
2008,CH,2.47,16,TLMN
2009,CH,1.48,11,TLMN
2010,CH,0.91,8,TLMN
2011,CH,0.48,6,TLMN
2012,CH,0.89,5,TLMN
2013,CH,1.16,10,TLMN
2014,CH,0.48,6,TLMN
2015,CH,NA,,TLMN
2016,CH,1.01,4,TLMN
2017,CH,,,TLMN
2018,CH,0.61,11,TLMN
2019,CH,0.7,9,TLMN
1997,ST,1.87,4,TLGR
1998,ST,0.34,1,TLGR
1999,ST,2.69,6,TLGR
2000,ST,3.5,7,TLGR
2001,ST,3.09,5,TLGR
2002,ST,3.91,5,TLGR
2003,ST,1.73,21,TLGR
2004,ST,0.91,31,TLGR
2005,ST,0.97,34,TLGR
2006,ST,1.23,19,TLGR
2007,ST,4.25,70,TLGR
2008,ST,3.88,58,TLGR
2009,ST,3.06,44,TLGR
2010,ST,2.38,39,TLGR
2011,ST,1.61,19,TLGR
2012,ST,1.46,12,TLGR
2013,ST,2.79,48,TLGR
2014,ST,2.23,54,TLGR
2015,ST,0.15,1,TLGR
2016,ST,0.59,9,TLGR
2017,ST,1.14,17,TLGR
2018,ST,1.62,59,TLGR
1997,ST,NA,,TLGS
1998,ST,NA,,TLGS
1999,ST,4.44,4,TLGS
2000,ST,3.37,3,TLGS
2001,ST,NA,,TLGS
2002,ST,1.61,1,TLGS
2003,ST,2.75,18,TLGS
2004,ST,0.87,7,TLGS
2005,ST,0.62,7,TLGS
2006,ST,1.56,22,TLGS
2007,ST,4.85,35,TLGS
2008,ST,5.09,34,TLGS
2009,ST,4.93,45,TLGS
2010,ST,2.64,25,TLGS
2011,ST,1.56,11,TLGS
2012,ST,3.7,19,TLGS
2013,ST,2.98,44,TLGS
2014,ST,1.62,27,TLGS
2015,ST,0.15,1,TLGS
2016,ST,1.24,9,TLGS
2017,ST,1.38,7,TLGS
2018,ST,1.85,37,TLGS
1997,ST,,,TLMN
1998,ST,,,TLMN
1999,ST,2.99,2,TLMN
2000,ST,2.73,3,TLMN
2001,ST,,,TLMN
2002,ST,2.22,3,TLMN
2003,ST,2.2,5,TLMN
2004,ST,0.63,1,TLMN
2005,ST,NA,,TLMN
2006,ST,1.16,5,TLMN
2007,ST,4.66,13,TLMN
2008,ST,2.44,2,TLMN
2009,ST,1.25,4,TLMN
2010,ST,1.67,3,TLMN
2011,ST,0.96,4,TLMN
2012,ST,2.46,5,TLMN
2013,ST,3.67,22,TLMN
2014,ST,1.13,7,TLMN
2015,ST,NA,,TLMN
2016,ST,1.71,5,TLMN
2017,ST,1.55,10,TLMN
2018,ST,1.83,14,TLMN
